都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,381,静岡県,浜松市,191,市営遠州浜団地,C9,集合住宅,中央区,遠州浜四丁目4,中央区遠州浜四丁目4,静岡県浜松市中央区遠州浜四丁目4,137.7764699,34.65533175,3階,6ｍ,18人,階段踊場,12.6,公共,RC,,15337206.47,4117140.195
221309,379,静岡県,浜松市,189,市営遠州浜団地,C7,集合住宅,中央区,遠州浜四丁目6,中央区遠州浜四丁目6,静岡県浜松市中央区遠州浜四丁目6,137.7769339,34.65552591,3階,6ｍ,18人,階段踊場,12.6,公共,RC,,15337258.12,4117166.471
221309,380,静岡県,浜松市,190,市営遠州浜団地,C8,集合住宅,中央区,遠州浜四丁目5,中央区遠州浜四丁目5,静岡県浜松市中央区遠州浜四丁目5,137.7765369,34.65555679,3階,6ｍ,18人,階段踊場,12.6,公共,RC,,15337213.93,4117170.65
221309,384,静岡県,浜松市,194,市営遠州浜団地,D2,集合住宅,中央区,遠州浜四丁目12,中央区遠州浜四丁目12,静岡県浜松市中央区遠州浜四丁目12,137.777701,34.65483532,3階,6ｍ,32人,階段踊場,22.5,公共,RC,,15337343.52,4117073.014
221309,382,静岡県,浜松市,192,市営遠州浜団地,C10,集合住宅,中央区,遠州浜四丁目7,中央区遠州浜四丁目7,静岡県浜松市中央区遠州浜四丁目7,137.7768856,34.65528983,3階,6ｍ,18人,階段踊場,12.6,公共,RC,,15337252.75,4117134.522
221309,385,静岡県,浜松市,195,市営遠州浜団地,D3,集合住宅,中央区,遠州浜四丁目9,中央区遠州浜四丁目9,静岡県浜松市中央区遠州浜四丁目9,137.7777439,34.6550361,3階,6ｍ,32人,階段踊場,22.5,公共,RC,,15337348.29,4117100.186
221309,383,静岡県,浜松市,193,市営遠州浜団地,D1,集合住宅,中央区,遠州浜一丁目15,中央区遠州浜一丁目15,静岡県浜松市中央区遠州浜一丁目15,137.7648211,34.65889052,3階,6ｍ,32人,階段踊場,22.5,公共,RC,,15335909.73,4117621.808
221309,388,静岡県,浜松市,198,市営遠州浜団地,光3,集合住宅,中央区,遠州浜一丁目1-1,中央区遠州浜一丁目1-1,静岡県浜松市中央区遠州浜一丁目1-1,137.7594792,34.6586367,3階,6ｍ,82人,階段踊場,57.5,公共,RC,1993,15335315.08,4117587.458
221309,386,静岡県,浜松市,196,市営遠州浜団地,波7,集合住宅,中央区,遠州浜四丁目16-7,中央区遠州浜四丁目16-7,静岡県浜松市中央区遠州浜四丁目16-7,137.7761943,34.6545714,6階,15ｍ,"1,144人",3～6階通路、屋上,804.4,公共,RC,1989,15337175.79,4117037.299
221309,387,静岡県,浜松市,197,市営遠州浜団地,波8,集合住宅,中央区,遠州浜四丁目15-1,中央区遠州浜四丁目15-1,静岡県浜松市中央区遠州浜四丁目15-1,137.7774136,34.6544382,6階,15ｍ,436人,3～6階通路,306.3,公共,RC,1984,15337311.52,4117019.273
